Sponsor.Code,Grant.Category.Code,Contract.Value.Band...see.note.A,Start.date,RFCD.Code.1,RFCD.Percentage.1,RFCD.Code.2,RFCD.Percentage.2,RFCD.Code.3,RFCD.Percentage.3,RFCD.Code.4,RFCD.Percentage.4,RFCD.Code.5,RFCD.Percentage.5,SEO.Code.1,SEO.Percentage.1,SEO.Code.2,SEO.Percentage.2,SEO.Code.3,SEO.Percentage.3,SEO.Code.4,SEO.Percentage.4,SEO.Code.5,SEO.Percentage.5,Person.ID.1,Role.1,Year.of.Birth.1,Country.of.Birth.1,Home.Language.1,Dept.No..1,Faculty.No..1,With.PHD.1,No..of.Years.in.Uni.at.Time.of.Grant.1,Number.of.Successful.Grant.1,Number.of.Unsuccessful.Grant.1,A..1,A.1,B.1,C.1,Person.ID.2,Role.2,Year.of.Birth.2,Country.of.Birth.2,Home.Language.2,Dept.No..2,Faculty.No..2,With.PHD.2,No..of.Years.in.Uni.at.Time.of.Grant.2,Number.of.Successful.Grant.2,Number.of.Unsuccessful.Grant.2,A..2,A.2,B.2,C.2,Person.ID.3,Role.3,Year.of.Birth.3,Country.of.Birth.3,Home.Language.3,Dept.No..3,Faculty.No..3,With.PHD.3,No..of.Years.in.Uni.at.Time.of.Grant.3,Number.of.Successful.Grant.3,Number.of.Unsuccessful.Grant.3,A..3,A.3,B.3,C.3,Person.ID.4,Role.4,Year.of.Birth.4,Country.of.Birth.4,Home.Language.4,Dept.No..4,Faculty.No..4,With.PHD.4,No..of.Years.in.Uni.at.Time.of.Grant.4,Number.of.Successful.Grant.4,Number.of.Unsuccessful.Grant.4,A..4,A.4,B.4,C.4,Person.ID.5,Role.5,Year.of.Birth.5,Country.of.Birth.5,Home.Language.5,Dept.No..5,Faculty.No..5,With.PHD.5,No..of.Years.in.Uni.at.Time.of.Grant.5,Number.of.Successful.Grant.5,Number.of.Unsuccessful.Grant.5,A..5,A.5,B.5,C.5,Person.ID.6,Role.6,Year.of.Birth.6,Country.of.Birth.6,Home.Language.6,Dept.No..6,Faculty.No..6,With.PHD.6,No..of.Years.in.Uni.at.Time.of.Grant.6,Number.of.Successful.Grant.6,Number.of.Unsuccessful.Grant.6,A..6,A.6,B.6,C.6,Person.ID.7,Role.7,Year.of.Birth.7,Country.of.Birth.7,Home.Language.7,Dept.No..7,Faculty.No..7,With.PHD.7,No..of.Years.in.Uni.at.Time.of.Grant.7,Number.of.Successful.Grant.7,Number.of.Unsuccessful.Grant.7,A..7,A.7,B.7,C.7,Person.ID.8,Role.8,Year.of.Birth.8,Country.of.Birth.8,Home.Language.8,Dept.No..8,Faculty.No..8,With.PHD.8,No..of.Years.in.Uni.at.Time.of.Grant.8,Number.of.Successful.Grant.8,Number.of.Unsuccessful.Grant.8,A..8,A.8,B.8,C.8,Person.ID.9,Role.9,Year.of.Birth.9,Country.of.Birth.9,Home.Language.9,Dept.No..9,Faculty.No..9,With.PHD.9,No..of.Years.in.Uni.at.Time.of.Grant.9,Number.of.Successful.Grant.9,Number.of.Unsuccessful.Grant.9,A..9,A.9,B.9,C.9,Person.ID.10,Role.10,Year.of.Birth.10,Country.of.Birth.10,Home.Language.10,Dept.No..10,Faculty.No..10,With.PHD.10,No..of.Years.in.Uni.at.Time.of.Grant.10,Number.of.Successful.Grant.10,Number.of.Unsuccessful.Grant.10,A..10,A.10,B.10,C.10,Person.ID.11,Role.11,Year.of.Birth.11,Country.of.Birth.11,Home.Language.11,Dept.No..11,Faculty.No..11,With.PHD.11,No..of.Years.in.Uni.at.Time.of.Grant.11,Number.of.Successful.Grant.11,Number.of.Unsuccessful.Grant.11,A..11,A.11,B.11,C.11,Person.ID.12,Role.12,Year.of.Birth.12,Country.of.Birth.12,Home.Language.12,Dept.No..12,Faculty.No..12,With.PHD.12,No..of.Years.in.Uni.at.Time.of.Grant.12,Number.of.Successful.Grant.12,Number.of.Unsuccessful.Grant.12,A..12,A.12,B.12,C.12,Person.ID.13,Role.13,Year.of.Birth.13,Country.of.Birth.13,Home.Language.13,Dept.No..13,Faculty.No..13,With.PHD.13,No..of.Years.in.Uni.at.Time.of.Grant.13,Number.of.Successful.Grant.13,Number.of.Unsuccessful.Grant.13,A..13,A.13,B.13,C.13,Person.ID.14,Role.14,Year.of.Birth.14,Country.of.Birth.14,Home.Language.14,Dept.No..14,Faculty.No..14,With.PHD.14,No..of.Years.in.Uni.at.Time.of.Grant.14,Number.of.Successful.Grant.14,Number.of.Unsuccessful.Grant.14,A..14,A.14,B.14,C.14,Person.ID.15,Role.15,Year.of.Birth.15,Country.of.Birth.15,Home.Language.15,Dept.No..15,Faculty.No..15,With.PHD.15,No..of.Years.in.Uni.at.Time.of.Grant.15,Number.of.Successful.Grant.15,Number.of.Unsuccessful.Grant.15,A..15,A.15,B.15,C.15,Unnamed: 251
4D,10A,,24/11/06,321004.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730105.0,50.0,730202.0,30.0,730106.0,20.0,0.0,0.0,0.0,0.0,735967.0,CHIEF_INVESTIGATOR,1965.0,Western Europe,,2713.0,25.0,Yes ,>=0 to 5,1.0,0.0,0.0,0.0,0.0,0.0,79022.0,CHIEF_INVESTIGATOR,1945.0,Western Europe,,2713.0,25.0,,more than 15,3.0,3.0,0.0,0.0,0.0,0.0,79032.0,DELEGATED_RESEARCHER,1955.0,Australia,,2713.0,25.0,Yes ,more than 15,0.0,4.0,4.0,11.0,8.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24D,30B,B ,28/09/06,320702.0,80.0,321005.0,10.0,321204.0,10.0,0.0,0.0,0.0,0.0,730104.0,90.0,730211.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,134907.0,CHIEF_INVESTIGATOR,1975.0,Australia,English,2578.0,25.0,Yes ,>=0 to 5,0.0,3.0,3.0,3.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2B,10A,G ,10/08/07,280204.0,40.0,230118.0,40.0,230119.0,20.0,0.0,0.0,0.0,0.0,610104.0,40.0,700302.0,40.0,780101.0,20.0,0.0,0.0,0.0,0.0,5812.0,CHIEF_INVESTIGATOR,1965.0,North America,English,2153.0,19.0,,,0.0,0.0,0.0,1.0,1.0,1.0,39562.0,CHIEF_INVESTIGATOR,1945.0,Great Britain,,2153.0,19.0,Yes ,>5 to 10,2.0,0.0,0.0,0.0,0.0,0.0,,EXT_CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,EXT_CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,EXT_CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,EXT_CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166B,10A,H ,26/03/07,300899.0,50.0,300801.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,760101.0,40.0,770101.0,20.0,770501.0,15.0,770803.0,15.0,730210.0,10.0,178232.0,CHIEF_INVESTIGATOR,1945.0,Great Britain,,998.0,1.0,Yes ,>=0 to 5,0.0,4.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2B,10A,,4/08/08,390302.0,40.0,390303.0,30.0,360104.0,30.0,0.0,0.0,0.0,0.0,750599.0,50.0,750503.0,30.0,750406.0,20.0,0.0,0.0,0.0,0.0,82467.0,CHIEF_INVESTIGATOR,1950.0,Australia,,3658.0,22.0,,Less than 0,0.0,2.0,1.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2B,10A,,4/08/08,349999.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720299.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,744982.0,CHIEF_INVESTIGATOR,1980.0,Western Europe,,1578.0,13.0,Yes ,>=0 to 5,2.0,0.0,0.0,1.0,0.0,0.0,64127.0,CHIEF_INVESTIGATOR,1945.0,Australia,,1578.0,13.0,Yes ,more than 15,0.0,0.0,0.0,0.0,0.0,0.0,69952.0,CHIEF_INVESTIGATOR,1960.0,Australia,,1578.0,13.0,Yes ,>10 to 15,0.0,1.0,3.0,9.0,14.0,1.0,,EXT_CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4D,10A,,24/11/06,270207.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730107.0,40.0,730105.0,30.0,730106.0,20.0,730213.0,10.0,0.0,0.0,3207.0,CHIEF_INVESTIGATOR,1970.0,Australia,,2678.0,25.0,,Less than 0,0.0,3.0,2.0,3.0,1.0,4.0,132232.0,CHIEF_INVESTIGATOR,1975.0,Australia,,2523.0,25.0,Yes ,>=0 to 5,1.0,1.0,0.0,0.0,0.0,0.0,649042.0,CHIEF_INVESTIGATOR,1975.0,Australia,,2523.0,25.0,Yes ,>=0 to 5,4.0,2.0,1.0,0.0,1.0,0.0,17367.0,CHIEF_INVESTIGATOR,1960.0,Asia Pacific,,2523.0,25.0,Yes ,>5 to 10,2.0,5.0,3.0,1.0,6.0,2.0,82567.0,DELEGATED_RESEARCHER,1955.0,Australia,English,,25.0,Yes ,more than 15,2.0,2.0,13.0,13.0,5.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40D,30B,B ,3/08/07,321003.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730106.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,EXT_CHIEF_INVESTIGATOR,,,,,,,,,,,,,,36857.0,PRINCIPAL_SUPERVISOR,1965.0,Australia,,2813.0,25.0,,Less than 0,1.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29A,10B,A ,21/09/06,321004.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730105.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142457.0,CHIEF_INVESTIGATOR,1970.0,Australia,,2713.0,25.0,,Less than 0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1/01/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,G ,9/10/06,,,,,,,,,,,,,,,,,,,,,10387.0,CHIEF_INVESTIGATOR,1950.0,Australia,,1038.0,1.0,Yes ,>10 to 15,0.0,2.0,2.0,8.0,17.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4D,10A,,24/11/06,321015.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670403.0,10.0,730108.0,80.0,780105.0,5.0,730203.0,5.0,0.0,0.0,36527.0,CHIEF_INVESTIGATOR,1955.0,Australia,,2653.0,25.0,,>=0 to 5,3.0,6.0,0.0,0.0,0.0,0.0,47517.0,CHIEF_INVESTIGATOR,1970.0,Australia,English,2533.0,25.0,,,1.0,1.0,0.0,0.0,0.0,0.0,17342.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2828.0,25.0,Yes ,>=0 to 5,1.0,14.0,7.0,17.0,17.0,3.0,11327.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2828.0,25.0,Yes ,Less than 0,0.0,1.0,0.0,6.0,13.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4D,10A,,24/11/06,270106.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730108.0,50.0,730203.0,25.0,730204.0,25.0,0.0,0.0,0.0,0.0,98187.0,CHIEF_INVESTIGATOR,1950.0,Australia,,2653.0,25.0,,,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2B,10A,D ,10/08/07,291599.0,50.0,291504.0,30.0,291503.0,20.0,0.0,0.0,0.0,0.0,730114.0,60.0,730203.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,348432.0,CHIEF_INVESTIGATOR,1970.0,Western Europe,,2103.0,19.0,,,1.0,1.0,6.0,3.0,1.0,0.0,78907.0,CHIEF_INVESTIGATOR,1935.0,Australia,,2813.0,25.0,,>5 to 10,0.0,0.0,0.0,0.0,0.0,0.0,,EXT_CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21A,50A,A ,3/07/07,260301.0,50.0,260106.0,30.0,260302.0,20.0,0.0,0.0,0.0,0.0,640103.0,50.0,780104.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,63172.0,CHIEF_INVESTIGATOR,1945.0,South Africa,,653.0,7.0,,,0.0,1.0,1.0,0.0,1.0,2.0,,EXT_CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21A,50A,A ,31/07/07,300502.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730103.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9542.0,CHIEF_INVESTIGATOR,1975.0,Australia,,1428.0,34.0,,>=0 to 5,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2B,10A,C ,16/10/08,370204.0,70.0,380107.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,750307.0,60.0,730219.0,30.0,730207.0,10.0,0.0,0.0,0.0,0.0,939957.0,DELEGATED_RESEARCHER,1975.0,,,,,,,0.0,0.0,0.0,2.0,4.0,0.0,68857.0,CHIEF_INVESTIGATOR,1950.0,Great Britain,,2298.0,46.0,Yes ,more than 15,3.0,1.0,0.0,0.0,0.0,0.0,,EXT_CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,EXT_CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,EXT_CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,EXT_CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4D,10A,,28/09/07,270106.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730105.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,EXT_CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4D,10A,,24/11/06,321004.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730118.0,40.0,730213.0,30.0,730219.0,30.0,0.0,0.0,0.0,0.0,69012.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2498.0,25.0,,>5 to 10,0.0,1.0,3.0,1.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2B,10A,H ,13/09/07,240101.0,70.0,280204.0,20.0,260603.0,10.0,0.0,0.0,0.0,0.0,780102.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72447.0,CHIEF_INVESTIGATOR,1950.0,Australia,,3198.0,31.0,Yes ,>10 to 15,5.0,2.0,6.0,27.0,4.0,0.0,885632.0,CHIEF_INVESTIGATOR,1960.0,Australia,,3198.0,31.0,,Less than 0,0.0,0.0,0.0,0.0,0.0,0.0,,EXT_CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,EXT_CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,EXT_CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,EXT_CHIEF_INVESTIGATOR,,,,,,,,,,,,,,21612.0,EXT_CHIEF_INVESTIGATOR,1950.0,Great Britain,,1098.0,1.0,,Less than 0,0.0,0.0,0.0,0.0,0.0,2.0,,EXT_CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,EXT_CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,EXT_CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4D,10A,,24/11/06,321015.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730306.0,50.0,730108.0,30.0,730202.0,20.0,0.0,0.0,0.0,0.0,78342.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2653.0,25.0,,>=0 to 5,0.0,3.0,2.0,1.0,5.0,0.0,4992.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2853.0,25.0,Yes ,>10 to 15,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228D,30B,B ,1/01/07,321015.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730108.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407.0,PRINCIPAL_SUPERVISOR,1955.0,Australia,,2713.0,25.0,,>10 to 15,1.0,1.0,6.0,3.0,6.0,2.0,,STUD_CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26B,20C,C ,29/01/08,300899.0,20.0,310299.0,20.0,310199.0,20.0,360201.0,20.0,370501.0,20.0,760101.0,20.0,770101.0,20.0,660501.0,20.0,760203.0,20.0,660504.0,20.0,44097.0,CHIEF_INVESTIGATOR,1955.0,Australia,,3658.0,22.0,Yes ,>5 to 10,0.0,2.0,4.0,4.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24D,30B,B ,29/09/06,270208.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780105.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34737.0,CHIEF_INVESTIGATOR,1970.0,North America,,2603.0,25.0,Yes ,Less than 0,4.0,8.0,2.0,8.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4D,10A,E ,1/01/07,321004.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730105.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8462.0,DELEGATED_RESEARCHER,1950.0,Australia,,2713.0,25.0,Yes ,>10 to 15,0.0,0.0,2.0,1.0,4.0,1.0,72037.0,CHIEF_INVESTIGATOR,1970.0,Australia,,2713.0,25.0,Yes ,>5 to 10,3.0,5.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34B,30C,A ,1/12/05,270703.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,770703.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81792.0,CHIEF_INVESTIGATOR,1950.0,Australia,,3268.0,31.0,Yes ,more than 15,2.0,0.0,0.0,3.0,5.0,4.0,,STUD_CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
